http://dbpedia.org/resource/Jumanji	llama_generated/genre	adventure
http://dbpedia.org/resource/Jumanji	llama_generated/genre	fantasy
http://dbpedia.org/resource/Jumanji	llama_generated/kind_of_plot	action
http://dbpedia.org/resource/Jumanji	llama_generated/kind_of_plot	adventure
http://dbpedia.org/resource/Jumanji	llama_generated/kind_of_musical_score	orchestral
http://dbpedia.org/resource/Jumanji	llama_generated/kind_of_musical_score	electronic
http://dbpedia.org/resource/Jumanji	llama_generated/mood_for_the_musical_score	dark
http://dbpedia.org/resource/Jumanji	llama_generated/mood_for_the_musical_score	epic
http://dbpedia.org/resource/Jumanji	llama_generated/setting	jungle
http://dbpedia.org/resource/Jumanji	llama_generated/setting	city
http://dbpedia.org/resource/Jumanji	llama_generated/visual_style	realistic
http://dbpedia.org/resource/Jumanji	llama_generated/visual_style	animated
http://dbpedia.org/resource/Jumanji	llama_generated/writing_style	serious
http://dbpedia.org/resource/Jumanji	llama_generated/writing_style	humorous
http://dbpedia.org/resource/Jumanji	llama_generated/runtime	90_minutes
http://dbpedia.org/resource/Jumanji	llama_generated/runtime	120_minutes
http://dbpedia.org/resource/Jumanji	llama_generated/themes	friendship
http://dbpedia.org/resource/Jumanji	llama_generated/themes	magic
http://dbpedia.org/resource/Grumpier_Old_Men	llama_generated/genre	comedy
http://dbpedia.org/resource/Grumpier_Old_Men	llama_generated/kind_of_plot	romantic
http://dbpedia.org/resource/Grumpier_Old_Men	llama_generated/kind_of_plot	comedy
http://dbpedia.org/resource/Grumpier_Old_Men	llama_generated/kind_of_musical_score	orchestral
http://dbpedia.org/resource/Grumpier_Old_Men	llama_generated/kind_of_musical_score	light-hearted
http://dbpedia.org/resource/Grumpier_Old_Men	llama_generated/mood_for_the_musical_score	happy
http://dbpedia.org/resource/Grumpier_Old_Men	llama_generated/mood_for_the_musical_score	lighthearted
http://dbpedia.org/resource/Grumpier_Old_Men	llama_generated/setting	small_town
http://dbpedia.org/resource/Grumpier_Old_Men	llama_generated/visual_style	colourful
http://dbpedia.org/resource/Grumpier_Old_Men	llama_generated/visual_style	vibrant
http://dbpedia.org/resource/Grumpier_Old_Men	llama_generated/writing_style	witty
http://dbpedia.org/resource/Grumpier_Old_Men	llama_generated/writing_style	humorous
http://dbpedia.org/resource/Grumpier_Old_Men	llama_generated/runtime	90_minutes
http://dbpedia.org/resource/Grumpier_Old_Men	llama_generated/themes	love
http://dbpedia.org/resource/Grumpier_Old_Men	llama_generated/themes	friendship
http://dbpedia.org/resource/Waiting_to_Exhale	llama_generated/genre	drama
http://dbpedia.org/resource/Waiting_to_Exhale	llama_generated/genre	romance
http://dbpedia.org/resource/Waiting_to_Exhale	llama_generated/kind_of_plot	love_triangle
http://dbpedia.org/resource/Waiting_to_Exhale	llama_generated/kind_of_plot	female_empowerment
http://dbpedia.org/resource/Waiting_to_Exhale	llama_generated/kind_of_musical_score	orchestral
http://dbpedia.org/resource/Waiting_to_Exhale	llama_generated/kind_of_musical_score	r&b
http://dbpedia.org/resource/Waiting_to_Exhale	llama_generated/mood_for_the_musical_score	uplifting
http://dbpedia.org/resource/Waiting_to_Exhale	llama_generated/mood_for_the_musical_score	emotional
http://dbpedia.org/resource/Waiting_to_Exhale	llama_generated/setting	modern-day_america
http://dbpedia.org/resource/Waiting_to_Exhale	llama_generated/visual_style	vibrant
http://dbpedia.org/resource/Waiting_to_Exhale	llama_generated/visual_style	naturalistic
http://dbpedia.org/resource/Waiting_to_Exhale	llama_generated/writing_style	character-driven
http://dbpedia.org/resource/Waiting_to_Exhale	llama_generated/writing_style	dialogue-heavy
http://dbpedia.org/resource/Waiting_to_Exhale	llama_generated/runtime	2_hours
http://dbpedia.org/resource/Waiting_to_Exhale	llama_generated/runtime	3_hours
http://dbpedia.org/resource/Waiting_to_Exhale	llama_generated/themes	friendship
http://dbpedia.org/resource/Waiting_to_Exhale	llama_generated/themes	self-discovery
http://dbpedia.org/resource/Father_of_the_Bride_Part_II	llama_generated/genre	comedy
http://dbpedia.org/resource/Father_of_the_Bride_Part_II	llama_generated/kind_of_plot	family
http://dbpedia.org/resource/Father_of_the_Bride_Part_II	llama_generated/kind_of_plot	comedy
http://dbpedia.org/resource/Father_of_the_Bride_Part_II	llama_generated/kind_of_musical_score	orchestral
http://dbpedia.org/resource/Father_of_the_Bride_Part_II	llama_generated/kind_of_musical_score	light-hearted
http://dbpedia.org/resource/Father_of_the_Bride_Part_II	llama_generated/mood_for_the_musical_score	happy
http://dbpedia.org/resource/Father_of_the_Bride_Part_II	llama_generated/setting	modern
http://dbpedia.org/resource/Father_of_the_Bride_Part_II	llama_generated/visual_style	realistic
http://dbpedia.org/resource/Father_of_the_Bride_Part_II	llama_generated/writing_style	dialogue-driven
http://dbpedia.org/resource/Father_of_the_Bride_Part_II	llama_generated/runtime	90_minutes
http://dbpedia.org/resource/Father_of_the_Bride_Part_II	llama_generated/themes	family
http://dbpedia.org/resource/Father_of_the_Bride_Part_II	llama_generated/themes	relationships
http://dbpedia.org/resource/Heat_(1995_film)	llama_generated/genre	action
http://dbpedia.org/resource/Heat_(1995_film)	llama_generated/genre	crime
http://dbpedia.org/resource/Heat_(1995_film)	llama_generated/kind_of_plot	nonlinear
http://dbpedia.org/resource/Heat_(1995_film)	llama_generated/kind_of_plot	heist
